Column1,v_id,v_title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount,category
60,3lFUVStqRI8,"لماذا كان يرفض ""ربيع الربيعان"" التصوير في بداية مشواره ومتى كان ظهوره؟",2/5/2021,معالي المواطن,52678,333,19,42,talkshow
61,dNte8MIrt_o,ماذا قال طلال مداح لنايف البدر عندما غنى أغنية وترحل,4/2/2021,معالي المواطن,22530,182,10,20,talkshow
62,lhyn01xo-JA,شخصية التمساح.. هل ستعود مع إبراهيم الخيرالله؟,10/23/2020,معالي المواطن,42024,785,56,82,talkshow
63,d76GfprRPNk,ناظم ظفر يقلد 8 معلقين مباريات كرة قدم بشكل متتالي وبلا توقف  هل تعرفت عليهم؟,9/12/2020,معالي المواطن,146981,1626,96,167,talkshow
64,E86FtgMxcm0,كيف قرأ  فنان الخدع البصرية صالح العبيدي أفكار علي العلياني؟,2/5/2021,معالي المواطن,47315,341,31,49,talkshow
65,3YXADAOhXSc,محمد القحطاني بطل العالم للخطابة عام 2015 يتحدث عن معاناته مع التأتأة وتغلبه عليها,10/29/2019,معالي المواطن,18046,432,12,25,talkshow
66,W-FzOp5OXnM,هل ينقل مريض الإيدز العدوى عن طريق الممارسة الجنسية؟,3/11/2018,معالي المواطن,121457,790,75,234,talkshow
67,UwbbK1T3LzI,ربيع الربيعان: أنا من يضع قوانين اللعبة ولايستطيع أحد كشفي حتى لو علمته الطريقة,2/9/2021,معالي المواطن,81679,939,40,125,talkshow
68,pccRiaBiWWc,أغنية وطني الحبيب للفنان الراحل طلال مداح يبدع قاري في عزفها,2/7/2019,معالي المواطن,530382,6990,313,726,talkshow
69,JCGhxNa1L8A,ما هو علاج الإيدز؟,12/11/2019,معالي المواطن,27499,223,16,132,talkshow
70,FudVkyAwQAk,الموسيقار ناصر الصالح يغني أحدث أعماله حصريا لصيف معالي الواطن,7/11/2020,معالي المواطن,22213,230,12,29,talkshow
71,yMbXfjiR1Qg,تقرير مؤثر عن حياة الفنان الراحل أبوبكر سالم #معالي_المواطن,12/12/2017,معالي المواطن,246078,1931,117,308,talkshow
72,AEE2femyB7Y,نايف البدر: غنيت مع محمد عبده وكانت فرصة ذهبية والشيخ خالد بن محفوظ له بصمة لا تنسى في حياتي,4/2/2021,معالي المواطن,11229,70,2,8,talkshow
73,TZn8B6J1ryQ,الفنان نايف البدر يروي قصة بدايته ويكشف عن أسم الرجل الذي اكتشفه,4/2/2021,معالي المواطن,15656,103,7,22,talkshow
74,X60ekOCzHTk,بدر بن هزاع : ما أنصح أي شخص يجرب أكل الزجاج,2/5/2021,معالي المواطن,29318,335,26,29,talkshow
75,AfQ9ztFiE_Q,هل الإصابة بمرض الروماتيزم مرتبطة بالعمر؟  وهل يوجد علاج نهائي لهذا المرض؟,2/27/2019,معالي المواطن,16125,194,8,66,talkshow
76,x0fgALfXz2s,محمد مسجل بالهوية الوطنية كأنثى.. يروي معاناته لـ #معالي_المواطن,10/30/2019,معالي المواطن,129168,1427,158,577,talkshow
77,YzXEVWUfOr0,ماذا يعني التصنيف الصحي؟خريج بكالوريس التغذية ابراهيم الجابر يفصل في ذلك,10/15/2018,معالي المواطن,5013,57,1,12,talkshow
78,ZY5xK6WK6u8,الفنان فايز المالكي يروي قصته مع البهاق لمعالي المواطن ويقدم نصائح للتعايش معه.,1/27/2019,معالي المواطن,13685,122,3,18,talkshow
79,A4jH8O3tnPU,علي العلياني متردد يسأل شاكر الشريف,10/23/2020,معالي المواطن,60196,771,59,42,talkshow
80,awhbt85fR2w,آراء مختلفة حول الفرقة الكورية BTS وموسيقاها,10/16/2019,معالي المواطن,118849,6564,501,1858,talkshow
81,nSPjngh9r7k,في ضيافة #معالي_المواطن .. الطفلة ليان فياض ودميتها التي تساعدها في السكري,11/13/2019,معالي المواطن,17039,220,10,17,talkshow
82,pKVP6l3VmDU,قصة الطائرة المطعم كاملة,2/25/2019,معالي المواطن,25188,175,10,41,talkshow
83,nRvYQX5PptI,الكابتن الغامدي: دخلت مجال الطيران بسبب أجرة سيارة التاكسي!!,8/29/2020,معالي المواطن,15650,208,12,10,talkshow
84,bYSdEmZ27FE,بدايات فيصل السيف وذكريات تقديم البرامج التلفزيونية.. تتذكرونه؟,6/27/2020,معالي المواطن,13872,233,16,25,talkshow
85,LZ5Q2Hg9ynE,صالح العبيدي يروي تفاصيل بدايته في مجال الخدع البصرية؟,2/5/2021,معالي المواطن,14086,126,5,6,talkshow
86,sVoDNjTIT-0,"متضرر على بند الأجور يروي لـ""معالي المواطن"" معاناتهم",2/12/2018,معالي المواطن,13970,209,6,58,talkshow
87,fAcIxNpi0p4,طريق الموت في الليث.. تقرير خالد الفرحان,10/9/2018,معالي المواطن,17596,281,13,87,talkshow
88,AtVYIX9skuc,الشاعر علي بن حمري يستقبل مكالمة والدته المفاجئة أثناء تصوير حلقة,1/15/2019,معالي المواطن,303441,2110,142,222,talkshow
89,ZhxIXi6IOs8,قطة.. غيّرت حياة عبدالرحيم بوعريش,1/29/2021,معالي المواطن,11254,406,14,11,talkshow
90,-3fjVaZYfuQ,شاعر فرسان القصيد فواز العازمي يشرح كيف بدأ فن المحاورة,4/3/2019,معالي المواطن,7728,112,4,22,talkshow
91,_9rjM6XJf5I,عادة التصفيق وتأثير الهبوط على نفسية الراكب.. وش أثرها على كابتن الطائرة؟,8/29/2020,معالي المواطن,7688,67,2,1,talkshow
92,VHScQkHMmxM,ملائمة خريجي معاهد الثانوية الصناعية لسوق العمل,11/7/2018,معالي المواطن,13524,236,10,76,talkshow
93,3so8pRKsa4U,د. عبدالله الحقيل: يمكن زواج المصاب بالإيدز من شخص غير مصاب,12/11/2019,معالي المواطن,14115,118,6,97,talkshow
94,rHvd_P_coUs,"أغنية ""إنسان عادي"" الفنان نايف البدر",4/2/2021,معالي المواطن,17881,198,7,26,talkshow
95,RkQzKoAVOOM,"سر محبة  ""الأحواز""  للسعودية",9/23/2018,معالي المواطن,26954,805,52,505,talkshow
96,LtXAJ8zQK2I,معاناة سكان ضاحية الملك فهد بالدمام من نقص الخدمات,3/6/2018,معالي المواطن,9860,113,3,21,talkshow
97,oaDiiZsgg9E,المدارس الليلية وشاكر الشريف.. وش القصة؟,10/23/2020,معالي المواطن,17341,198,12,14,talkshow
98,NB7WAcmGkPw,#وجبات_15_ثانية | البرياني | 15smeals | Biryani#,4/4/2017,15 ثانية,829662,14244,436,425,food&cooking
99,8CBcoAfHxFw,#وجبات_15_ثانية | تكا مسالا 15s | Tikka Masala#,10/10/2016,15 ثانية,1003746,16801,536,325,food&cooking
100,P4QSXEpZKqM,#وجبات_15_ثانية | سندوتشات الكودو 15smeals | Kudu Sandwiches#,12/10/2017,15 ثانية,597317,11260,294,328,food&cooking
101,Udq8V90Ol6I,#وجبات_15_ثانية | كيكة التمر بالحليب المكرمل,1/12/2017,15 ثانية,322462,6416,170,241,food&cooking
102,C8z3AyR5wDA,#وجبات_15_ثانية | فتة الباذنجان 15smeals | Aubergin Fatah#,3/1/2018,15 ثانية,756826,13418,364,270,food&cooking
103,n0-vpjqv4DA,#وجبات_15_ثانية | مشخول السمك 15smeals | (Mashkhool (fish with rice#,11/10/2016,15 ثانية,154535,4302,85,132,food&cooking
104,ZsSoVLM9wS0,#وجبات_15_ثانية | بتر تشكن 15smeals | Butter chicken#,3/13/2017,15 ثانية,516396,8857,273,288,food&cooking
105,E9ymrrTyh_A,#وجبات_15_ثانية |  المصقعة السريعة 15s | Moussaka #,7/11/2016,15 ثانية,441223,8586,185,150,food&cooking
106,X3ekY_cwVB4,#وجبات_15_ثانية | صينية التوست بالدجاج  15smeals| Chicken Toast Casserole#,6/18/2017,15 ثانية,902001,15809,438,254,food&cooking
107,sjzfJ08b_w4,15#_ثانية | أفخم وصفة ورق عنب حتشوفوها 15s | Stuffed Grape Leaves with Pomegranate Syrup#,7/11/2018,15 ثانية,1130041,18741,426,587,food&cooking
108,T0sKAeyLOGc,#وجبات_15_ثانية | شاورما مدخنة 15s |  Smoked shawarma#,11/6/2016,15 ثانية,378321,8245,179,185,food&cooking
109,P0hY8OWbBiE,#وجبات_15_ثانية | لفائف الباذنجان بالدجاج والجبن 15s | Eggplant rolls with cheese and chicken#,9/24/2016,15 ثانية,223454,5935,84,94,food&cooking
110,A7u_gbpeZ80,15#_ثانية | اصغر ورق عنب ممكن تتخيله !,2/3/2019,15 ثانية,1091814,23341,919,1756,food&cooking
111,ottIEx2waRI,#وجبات_15_ثانية | ام علي بالقشطة الطازجة,6/21/2016,15 ثانية,565074,9392,266,208,food&cooking
112,DXZXFQuitAs,#وجبات_15_ثانية | السليق باللبن 15s | Saliq with ayran milk#,7/20/2016,15 ثانية,379114,5827,183,272,food&cooking
113,OutseUziBeg,#وجبات_15_ثانية | البسبوسه بالحليب المحمص,11/7/2016,15 ثانية,540977,9457,280,479,food&cooking
114,MqFdT-DPXOc,#وجبات_15_ثانية | المرقوق 15s | Al-Margoog #,9/10/2015,15 ثانية,749104,8936,363,465,food&cooking
115,p2v73g7dg88,#وجبات_15_ثانية  |  صينية الارز الكابلي 15s | Afghani Rice in a pan#,8/18/2016,15 ثانية,333407,8201,155,223,food&cooking
116,TH7sWn6IsC0,#وجبات_15_ثانية | كيكة الزبادي بصوص النسكافيه,9/1/2016,15 ثانية,215116,5294,101,136,food&cooking
117,N7yN3rLRCI0,#وجبات_15_ثانية | دجاج التندوري مع بطاطس الودجز   15s | Chicken Tandoori #,1/23/2017,15 ثانية,182840,4584,68,108,food&cooking
118,Atlp_F9ZtDE,#وجبات_15_ثانية | معمول السميد بالتمر والزبدة,9/19/2016,15 ثانية,220156,5832,97,201,food&cooking
119,Xi2eO6-Cd20,#وجبات_15_ثانية | المموش الكويتي  بالروبيان 15s | Kuwaiti Momuash with shrimps#,1/4/2017,15 ثانية,120526,2773,62,111,food&cooking
120,xPXoscOkr4o,#وجبات_15_ثانية | شيش برك 15s | Shish Barak #,8/10/2015,15 ثانية,260500,5229,123,198,food&cooking
121,R-vHbI8lf3g,#وجبات_15_ثانية | طاجن الدجاج والبطاطس 15s | Chicken and Potatoes Tagine#,10/22/2015,15 ثانية,77216,1447,20,39,food&cooking
122,r_MT4beF5gw,#وجبات_15_ثانية | فخذ خروف مشوي 15s | Barbecued lamb leg#,8/29/2016,15 ثانية,204857,5352,118,122,food&cooking
123,aDR_RFlQd-c,سامر المصري المخرج قتل شخصيه أبوشهاب وجعله خائن لذلك تركت باب الحارة,7/12/2015,برنامج ياهلا,16676851,236417,9620,12052,talkshow
124,GmY2emyTvOs,"استمع إلى قصيدة ""يا طير"" للشاعر مساعد الرشيدي من برنامج ياهلا رمضان",6/18/2016,برنامج ياهلا,719754,6128,167,454,talkshow
125,2_z5nwWVrRU,مكالمة مؤثرة بين خالد الدوسري وأمه لأول مرة منذ 9 سنوات,6/14/2020,برنامج ياهلا,707366,11656,277,3931,talkshow
126,drPtSaMgmoQ,فارس عوض محمد نور أقوى كاريزما للاعب عربي,7/16/2015,برنامج ياهلا,429862,5949,123,172,talkshow
127,iKJkkOJTvgU,"الشجاعة جنى: لا أحاول أمد يدي لأحد حتى لا أنحرج، وبعض الناس أول ما يروني يقولون ""بسم الله"" كأني جني!",12/26/2017,برنامج ياهلا,1413318,13292,454,3232,talkshow
128,p6PRiQRpoKg,مساعد الرشيدي:  أنا صاحب بصمة في الشعر ولا أحد يستطيع يقلدني,6/18/2016,برنامج ياهلا,354299,3348,145,283,talkshow
129,InECdbTBPoU,"العمري: لدينا 3 تريليون ريال احتياطي، لا تلعبوا علينا!",9/30/2012,برنامج ياهلا,1534667,11426,492,1849,talkshow
130,BmQZIo5eU_M,غرامة مالية تفاجئ أحد بائعي الورد وتتسبب لفي إغلاق محله!,3/14/2021,برنامج ياهلا,218648,4193,116,2145,talkshow
131,AExGBJ1NLho,تناديك ... ياسر التويجري. |. Tenadeek Yasser Al Twaijiry,5/1/2016,برنامج ياهلا,1057015,5920,301,689,talkshow
132,N2J4HYzOyyc,المعتقل خالد الدوسري في تصريح جديد وخاص لبرنامج ياهلا : منتظر أرحل للسعودية!,6/29/2020,برنامج ياهلا,1075810,22905,749,4335,talkshow
133,HJF5OLilgJU,خالد عبدالرحمن لهذا السبب رفضت أن تغني أحلام أغنية  لاتفسر,6/7/2016,برنامج ياهلا,1507801,8582,711,1190,talkshow
134,MNJ_fIsuiPo,السومة يتكلم عن العروض الأوربية وعن أفضل الاعبين السعوديين والأجانب,6/25/2016,برنامج ياهلا,223549,2065,74,94,talkshow
135,fymC5XrtN-M,الأمير بدر بن عبدالمحسن: يتحدث عن إعجابه بشعر الراحل مساعد الرشيدي,2/16/2017,برنامج ياهلا,248111,2494,75,174,talkshow
136,Uqd1kdBgv28,الأمير بدر بن عبدالمحسن: يتحدث عن طيبة طلال مداح ويقول هو اللي قدمني للناس كشاعر,2/16/2017,برنامج ياهلا,201635,1616,71,189,talkshow
137,JgTmr2xkpu8,"محمد نور: أنا ولد حارة، ولازلت في الحارة، وأحس بالسعادة عندما أساعد أهلي وربعي",6/26/2016,برنامج ياهلا,220960,2416,67,185,talkshow
138,4SRB3UjV01w,عمر السومة يتكلم عن مشكلة المطار ويعتذر لنادى الاتفاق,6/25/2016,برنامج ياهلا,1116092,15328,955,983,talkshow
139,zgooFB3HBzM,عم السجين خالد الدوسري يبكي متأثراً بظلمه ويقول إن شاء الله الحكومة ما تخلي ولدنا,10/16/2015,برنامج ياهلا,959219,9922,318,1367,talkshow
140,Tp35WCUfRIY,خالد عبدالرحمن : بعت سيارتي بـ 11 ألف ريال علشان أول عمل لي .. وإنطلاقتي كانت من ألبوم صارحيني,6/7/2016,برنامج ياهلا,169006,1250,66,96,talkshow
141,kHMNQYhu1K8,أسعف زوجته بسيارة الشركة ففصلوه.. مواطن يشتكي من الفصل التعسفي ويروي الحكاية في ياهلا,10/27/2019,برنامج ياهلا,597361,10230,424,2586,talkshow
142,Ql9pFzWkRE8,في ورشته المتواضعة.. شاب سعودي يرسم البسمة لعشاق السيارات القديمة من جيل الطيبين,2/28/2021,برنامج ياهلا,46349,2267,35,337,talkshow
143,8ClGbkV669s,الشاعر سعد علوش يتحدث عن الشاعر الكبير سعد بن جدلان في ياهلا رمضان,6/27/2016,برنامج ياهلا,474040,2510,171,273,talkshow
144,bVfUiZVdELg,عبادي الجوهر يرد على اتهامات محمد عبده للراحل طلال مداح,7/11/2015,برنامج ياهلا,2386353,17722,1682,4916,talkshow
145,ETIBLgZ_qkU,الأمير بدر بن عبدالمحسن: يروي قصة الأغنية التي بدأها خالد الفيصل وأكملها هو,2/16/2017,برنامج ياهلا,174807,807,30,53,talkshow
146,olQFnF9uXGA,علي الهويريني: أحب أن أجلس في الصيف أمام النار مع جنيتي التي تعلمني,3/15/2017,برنامج ياهلا,249724,2562,173,336,talkshow
147,xfip2i2rJX4,الأمير بدر بن عبدالمحسن: يكشف بصراحة عن سر كتابة (أبعتذر) و(تقوى الهجر),2/16/2017,برنامج ياهلا,799987,4242,406,717,talkshow
148,CqmzRKwm4Iw,أئمة الحرم.. رحلوا وظلت أصواتهم منقوشة في الذاكرة,5/4/2020,برنامج ياهلا,382791,6472,127,570,talkshow
149,oGBBI5cU0GU,"مداعبة حمدان بن محمد بن راشد آل مكتوم "" فزاع "" مع فارس عوض",7/16/2015,برنامج ياهلا,583204,3024,192,125,talkshow
150,BiYIXBpV7rE,خويتم الحارثي يروي قصة العفو عن قاتل ولده في ياهلا,9/17/2019,برنامج ياهلا,1997761,38604,1791,5685,talkshow
151,cm3rl55riDY,"د. طارق الحبيب: هذه نصيحتي لمن عُرض عليها أن تكون ""زوجة ثانية""..",3/14/2018,برنامج ياهلا,160545,1812,150,499,talkshow
152,upKF7EyT2gs,محمد نور يتكلم عن قضية المنشطات: فحصت 3 مرات ولم يثبت شيء وواضح إن الموضوع شخصي,6/26/2016,برنامج ياهلا,345723,3640,191,339,talkshow
153,xDKuT6uRmrI,الإعلامي عبدالله الشهري يتحدث عن شعوره وهو يقرأ خبر وفاة الملك عبدالله بن عبدالعزيز,1/24/2015,برنامج ياهلا,350583,2457,122,168,talkshow
154,T9feacagWYE,إبراهيم باشا يلبي دعوة ياهلا وحلم طفلة مريضة بالسرطان بالمقابلة معه,12/16/2017,برنامج ياهلا,75155,1382,40,131,talkshow
155,80GUX1iKi94,النجم محمد نور يتكلم عن بداية حياته وعلاقته بوالدته ودخوله الاتحاد,6/26/2016,برنامج ياهلا,229671,2208,121,188,talkshow
156,0nzlLpo-kuM,عبدالمنعم عمايري يتكلم عن تجربة زواجه وانفصاله عن الفنانة أمل عرفة,7/3/2016,برنامج ياهلا,281657,1225,111,109,talkshow
157,0E1yIhwb8V0,مغربي يروي تفاصل حياته بين القبائل السعودية 30 عامًا,3/29/2021,برنامج ياهلا,213677,3117,137,1536,talkshow
158,XQ5-nwlswBs,الصبحان: لعبت للهلال والنصر والواسطة أبعدتني عن الملاعب,1/19/2021,برنامج ياهلا,174598,4416,336,1276,talkshow
159,HFMM5JIcRKQ,"الشيخ مشاري راشد يدافع عن فضل شاكر: ليس مجرما، وعاصي الحلاني وراء توقف مشروع تصوير آخر كليب لنا",6/23/2016,برنامج ياهلا,637576,6430,363,750,talkshow
